"paint_id","brand","line","name","url_column","current_url","current_http_status","current_check_method","current_error","suggested_url","suggested_http_status","suggested_check_method","update_status","update_error"
"986ef4be-8e35-4fa6-9d03-afc9bc972c89","Vallejo","Model Air","Rust (Metallic)","swatch_image_url","https://ckzrvjisesooqcmmtvwl.supabase.co/storage/v1/object/public/paint-swatches/vallejo/model_air/71_069_rust_metallic.png","200","HEAD","","","","","not-applied",""
"9cf53feb-57a5-458d-9574-c4811cd1c400","Vallejo","Model Air","Sand","swatch_image_url","https://ckzrvjisesooqcmmtvwl.supabase.co/storage/v1/object/public/paint-swatches/vallejo/model_air/71_112_sand.png","200","HEAD","","","","","not-applied",""
"c6d4b342-9e37-40c3-866a-64000ccc99fc","Vallejo","Model Air","Sand Beige","swatch_image_url","https://ckzrvjisesooqcmmtvwl.supabase.co/storage/v1/object/public/paint-swatches/vallejo/model_air/71_244_sand_beige.png","200","HEAD","","","","","not-applied",""
"312c6d38-18e2-47d3-9a3d-8d5ca4c18e94","Vallejo","Model Air","Sand Brown","swatch_image_url","https://ckzrvjisesooqcmmtvwl.supabase.co/storage/v1/object/public/paint-swatches/vallejo/model_air/71_034_sand_brown.png","200","HEAD","","","","","not-applied",""
"8a1d33fe-8ca2-4d47-9b28-ce92111dd3ca","Vallejo","Model Air","Sand Yellow","swatch_image_url","https://ckzrvjisesooqcmmtvwl.supabase.co/storage/v1/object/public/paint-swatches/vallejo/model_air/71_028_sand_yellow.png","200","HEAD","","","","","not-applied",""
"c06774d4-cc35-47d7-a98b-2f35ad4e4fe2","Vallejo","Model Air","Sand Yellow RLM79","swatch_image_url","https://ckzrvjisesooqcmmtvwl.supabase.co/storage/v1/object/public/paint-swatches/vallejo/model_air/71_278_sand_yellow_rlm79.png","200","HEAD","","","","","not-applied",""
"104b7a4b-9286-4236-b729-5df189b8d1fa","Vallejo","Model Air","Sea Grey","swatch_image_url","https://ckzrvjisesooqcmmtvwl.supabase.co/storage/v1/object/public/paint-swatches/vallejo/model_air/71_049_sea_grey.png","200","HEAD","","","","","not-applied",""
"e4b89367-0d4d-49f6-91d9-080bf8e8da08","Vallejo","Model Air","Seaplane Gray","swatch_image_url","https://ckzrvjisesooqcmmtvwl.supabase.co/storage/v1/object/public/paint-swatches/vallejo/model_air/71_314_seaplane_gray.png","200","HEAD","","","","","not-applied",""
"de70ebbf-015b-479b-8a0a-ba96bffe5bdc","Vallejo","Model Air","Signal Blue","swatch_image_url","https://ckzrvjisesooqcmmtvwl.supabase.co/storage/v1/object/public/paint-swatches/vallejo/model_air/71_091_signal_blue.png","200","HEAD","","","","","not-applied",""
"75900bef-e5a3-46d9-95e8-4b1a295bffa0","Vallejo","Model Air","Signal Red (Metal.)","swatch_image_url","https://ckzrvjisesooqcmmtvwl.supabase.co/storage/v1/object/public/paint-swatches/vallejo/model_air/71_070_signal_red_metal.png","200","HEAD","","","","","not-applied",""
"e00b184a-1211-4546-8382-935ee3681b7c","Vallejo","Model Air","Silver RLM01 (Met.)","swatch_image_url","https://ckzrvjisesooqcmmtvwl.supabase.co/storage/v1/object/public/paint-swatches/vallejo/model_air/71_063_silver_rlm01_met.png","200","HEAD","","","","","not-applied",""
"d3f53d09-e2d6-43d8-96ae-9db09cb34d3a","Vallejo","Model Air","Skin Tone","swatch_image_url","https://ckzrvjisesooqcmmtvwl.supabase.co/storage/v1/object/public/paint-swatches/vallejo/model_air/71_076_skin_tone.png","200","HEAD","","","","","not-applied",""
"bd094fda-2d93-4781-86b8-343baaf46fc9","Vallejo","Model Air","Sky Blue","swatch_image_url","https://ckzrvjisesooqcmmtvwl.supabase.co/storage/v1/object/public/paint-swatches/vallejo/model_air/71_306_sky_blue.png","200","HEAD","","","","","not-applied",""
"49defb28-cefd-4bd0-851d-1acaf4236909","Vallejo","Model Air","Sky Type S","swatch_image_url","https://ckzrvjisesooqcmmtvwl.supabase.co/storage/v1/object/public/paint-swatches/vallejo/model_air/71_302_sky_type_s.png","200","HEAD","","","","","not-applied",""
"16278601-dcd4-4402-aaba-de7ee7f3299d","Vallejo","Model Air","Steel (Metallic)","swatch_image_url","https://ckzrvjisesooqcmmtvwl.supabase.co/storage/v1/object/public/paint-swatches/vallejo/model_air/71_065_steel_metallic.png","200","HEAD","","","","","not-applied",""
"f9c1f27a-6ed9-4493-87a9-eaa3870255cc","Vallejo","Model Air","Steel Blue","swatch_image_url","https://ckzrvjisesooqcmmtvwl.supabase.co/storage/v1/object/public/paint-swatches/vallejo/model_air/71_087_steel_blue.png","200","HEAD","","","","","not-applied",""
"ebe2fd17-af74-47e9-b34a-48f429532de5","Vallejo","Model Air","Tan Earth","swatch_image_url","https://ckzrvjisesooqcmmtvwl.supabase.co/storage/v1/object/public/paint-swatches/vallejo/model_air/71_079_tan_earth.png","200","HEAD","","","","","not-applied",""
"1b6bd8e5-c99e-489a-9b35-e696e2cd06fe","Vallejo","Model Air","Tire Black","swatch_image_url","https://ckzrvjisesooqcmmtvwl.supabase.co/storage/v1/object/public/paint-swatches/vallejo/model_air/71_315_tire_black.png","200","HEAD","","","","","not-applied",""
"d9130f0a-3dc2-45dd-a8f6-b57084b35236","Vallejo","Model Air","UK Azure Blue","swatch_image_url","https://ckzrvjisesooqcmmtvwl.supabase.co/storage/v1/object/public/paint-swatches/vallejo/model_air/71_108_uk_azure_blue.png","200","HEAD","","","","","not-applied",""
"63c3ce3a-202e-4f6e-af97-61f1eecb6c97","Vallejo","Model Air","UK BSC 64 Port. Stone","swatch_image_url","https://ckzrvjisesooqcmmtvwl.supabase.co/storage/v1/object/public/paint-swatches/vallejo/model_air/71_288_uk_bsc_64_port_stone.png","200","HEAD","","","","","not-applied",""
"79f619e7-0dbc-4b3e-8308-a786573f818e","Vallejo","Model Air","UK Light Mud","swatch_image_url","https://ckzrvjisesooqcmmtvwl.supabase.co/storage/v1/object/public/paint-swatches/vallejo/model_air/71_284_uk_light_mud.png","200","HEAD","","","","","not-applied",""
"c4654412-06f9-4afe-bcf6-3242a2444858","Vallejo","Model Air","UK Light Stone","swatch_image_url","https://ckzrvjisesooqcmmtvwl.supabase.co/storage/v1/object/public/paint-swatches/vallejo/model_air/71_143_uk_light_stone.png","200","HEAD","","","","","not-applied",""
"fa1d91e3-91a7-451f-8269-2023e26dee31","Vallejo","Model Air","Unders. Blue “Faded”","swatch_image_url","https://ckzrvjisesooqcmmtvwl.supabase.co/storage/v1/object/public/paint-swatches/vallejo/model_air/71_332_unders_blue_faded.png","200","HEAD","","","","","not-applied",""
"e7608e77-9311-4920-8148-bc97e87eeba5","Vallejo","Model Air","US Dark Green","swatch_image_url","https://ckzrvjisesooqcmmtvwl.supabase.co/storage/v1/object/public/paint-swatches/vallejo/model_air/71_289_us_dark_green.png","200","HEAD","","","","","not-applied",""
